"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff"
"JSRP1",0,0.825320570481209,0.504,0.012,0,"7","JSRP1",0.492
"LINC02362",0,0.600029946077692,0.403,0.01,0,"7","LINC02362",0.393
"IGLV2-8",0,0.564040923715476,0.294,0.002,0,"7","IGLV2-8",0.292
"SPAG4",0,0.482644408894094,0.437,0.011,0,"7","SPAG4",0.426
"U62317.5",0,0.343604067247497,0.252,0.002,0,"7","U62317.5",0.25
"SDC1",0,0.262414144259599,0.252,0,0,"7","SDC1",0.252
"ADM",7.90600071153504e-271,0.591199086871048,0.252,0.004,1.7866771007998e-266,"7","ADM",0.248
"DERL3",1.67636783829866e-255,1.98155545041629,0.891,0.078,3.78842367777115e-251,"7","DERL3",0.813
"KCNN3",2.7155714978328e-250,0.269835097803257,0.286,0.006,6.13692002795234e-246,"7","KCNN3",0.28
"IGLV3-1",3.55775033575246e-227,3.59288834986181,0.252,0.005,8.04015998376699e-223,"7","IGLV3-1",0.247
"TXNDC5",7.36686415518543e-226,1.26745927130165,0.723,0.055,1.66483763043036e-221,"7","TXNDC5",0.668
"IGHV7-27",1.50247610054213e-223,2.94814876301315,0.403,0.016,3.39544573961515e-219,"7","IGHV7-27",0.387
"AC104699.1",3.20083249406052e-203,0.669464127299602,0.563,0.034,7.23356135332737e-199,"7","AC104699.1",0.529
"CKAP4",1.97615877964184e-202,0.683435128676488,0.571,0.035,4.46592122611259e-198,"7","CKAP4",0.536
"IGLV2-14",5.98757935348058e-195,3.30827388738989,0.336,0.012,1.35313305809308e-190,"7","IGLV2-14",0.324
"AC007569.1",1.27821658186441e-192,0.336394732824127,0.361,0.014,2.88864165335539e-188,"7","AC007569.1",0.347
"IGHV7-4-1",2.73002820001064e-182,4.22723977315661,0.42,0.022,6.16959072920404e-178,"7","IGHV7-4-1",0.398
"AC012236.11",1.5512502386705e-180,1.32558022445238,0.681,0.06,3.50567041437146e-176,"7","AC012236.1",0.621
"CD9",1.2078064993418e-163,0.603560833672978,0.387,0.019,2.72952190786254e-159,"7","CD9",0.368
"MZB11",9.17228914676792e-149,3.30475594258538,0.966,0.192,2.07284562427808e-144,"7","MZB1",0.774
"MIXL1",9.5092398034541e-145,0.407615663360905,0.496,0.037,2.14899310318259e-140,"7","MIXL1",0.459
"IGHA2",2.92977610369664e-142,1.05509836776791,0.42,0.028,6.62100101674405e-138,"7","IGHA2",0.392
"TRIB1",3.57549692034937e-142,0.505000162039259,0.513,0.039,8.08026549029755e-138,"7","TRIB1",0.474
"PNOC",2.32232158117004e-138,0.886954832660442,0.731,0.087,5.24821454128617e-134,"7","PNOC",0.644
"IGLV2-23",2.14242354240413e-132,5.56325611279382,0.437,0.033,4.8416629634791e-128,"7","IGLV2-23",0.404
"RGS16",3.71433394551054e-128,1.2882543062819,0.454,0.035,8.39402328345926e-124,"7","RGS16",0.419
"CHPF",1.8342381949274e-127,0.770541096692465,0.605,0.062,4.14519489671643e-123,"7","CHPF",0.543
